symbol;company_name;sector;industry;country
TEAM;Atlassian Corporation;Technology;Software - Application;Australia
WDS;Woodside Energy Group Limited;Energy;Oil & Gas E&P;Australia
OSW;OneSpaWorld Holdings Limited;Consumer Cyclical;Leisure;Bahamas
ACGL;Arch Capital Group Ltd.;Financial Services;Insurance - Diversified;Bermuda
AGO;Assured Guaranty Ltd.;Financial Services;Insurance - Specialty;Bermuda
ASC;Ardmore Shipping Corporation;Industrials;Marine Shipping;Bermuda
AXS;Axis Capital Holdings Limited;Financial Services;Insurance - Specialty;Bermuda
BNT;Brookfield Wealth Solutions Ltd;Financial Services;Insurance - Diversified;Bermuda
BORR;Borr Drilling Limited;Energy;Oil & Gas Drilling;Bermuda
DHT;DHT Holdings, Inc.;Energy;Oil & Gas Midstream;Bermuda
EG;Everest Group, Ltd.;Financial Services;Insurance - Reinsurance;Bermuda
ESGR;Enstar Group Limited;Financial Services;Insurance - Diversified;Bermuda
ESNT;Essent Group Ltd.;Financial Services;Insurance - Specialty;Bermuda
FIHL;Fidelis Insurance Holdings Limi;Financial Services;Insurance - Diversified;Bermuda
G;Genpact Limited;Technology;Information Technology Services;Bermuda
GLNG;Golar LNG Limited;Energy;Oil & Gas Midstream;Bermuda
GOGL;Golden Ocean Group Limited;Industrials;Marine Shipping;Bermuda
HG;Hamilton Insurance Group, Ltd.;Financial Services;Insurance - Reinsurance;Bermuda
JRVR;James River Group Holdings, Ltd;Financial Services;Insurance - Specialty;Bermuda
LBTYA;Liberty Global Ltd.;Communication Services;Telecom Services;Bermuda
LBTYK;Liberty Global Ltd.;Communication Services;Telecom Services;Bermuda
LILA;Liberty Latin America Ltd.;Communication Services;Telecom Services;Bermuda
LILAK;Liberty Latin America Ltd.;Communication Services;Telecom Services;Bermuda
MHLD;Maiden Holdings, Ltd.;Financial Services;Insurance - Reinsurance;Bermuda
NAT;Nordic American Tankers Limited;Energy;Oil & Gas Midstream;Bermuda
NBR;Nabors Industries Ltd.;Energy;Oil & Gas Drilling;Bermuda
RNR;RenaissanceRe Holdings Ltd.;Financial Services;Insurance - Reinsurance;Bermuda
SDRL;Seadrill Limited;Energy;Oil & Gas Drilling;Bermuda
SFL;SFL Corporation Ltd;Industrials;Marine Shipping;Bermuda
SIG;Signet Jewelers Limited;Consumer Cyclical;Luxury Goods;Bermuda
SPNT;SiriusPoint Ltd.;Financial Services;Insurance - Reinsurance;Bermuda
TK;Teekay Corporation Ltd.;Energy;Oil & Gas Midstream;Bermuda
TNK;Teekay Tankers Ltd.;Energy;Oil & Gas Midstream;Bermuda
VAL;Valaris Limited;Energy;Oil & Gas Equipment & Services;Bermuda
VIK;Viking Holdings Ltd;Consumer Cyclical;Travel Services;Bermuda
WTM;White Mountains Insurance Group;Financial Services;Insurance - Property & Casualty;Bermuda
ABEV;Ambev S.A.;Consumer Defensive;Beverages - Brewers;Brazil
BAK;Braskem SA;Basic Materials;Chemicals;Brazil
BBD;Banco Bradesco Sa;Financial Services;Banks - Regional;Brazil
BRFS;BRF S.A.;Consumer Defensive;Packaged Foods;Brazil
CIG;Comp En De Mn Cemig;Utilities;Utilities - Diversified;Brazil
EBR;Centrais Electricas Brasileiras;Utilities;Utilities - Renewable;Brazil
GGB;Gerdau S.A.;Basic Materials;Steel;Brazil
INTR;Inter & Co. Inc.;Financial Services;Banks - Regional;Brazil
ITUB;Itau Unibanco Banco Holding SA;Financial Services;Banks - Regional;Brazil
NU;Nu Holdings Ltd.;Financial Services;Banks - Regional;Brazil
PAGS;PagSeguro Digital Ltd.;Technology;Software - Infrastructure;Brazil
PBR-A;Petroleo Brasileiro S.A.- Petro;Energy;Oil & Gas Integrated;Brazil
SID;Companhia Siderurgica Nacional ;Basic Materials;Steel;Brazil
SUZ;Suzano S.A.;Basic Materials;Paper & Paper Products;Brazil
TIMB;TIM S.A.;Communication Services;Telecom Services;Brazil
USNZY;Usinas Siderurgicas de Minas Ge;Basic Materials;Steel;Brazil
VALE;VALE S.A.;Basic Materials;Other Industrial Metals & Mining;Brazil
DESP;Despegar.com, Corp.;Consumer Cyclical;Travel Services;Virgin Islands (British)
ABCL;AbCellera Biologics Inc.;Healthcare;Biotechnology;Canada
ACHV;Achieve Life Sciences, Inc.;Healthcare;Biotechnology;Canada
AEM;Agnico Eagle Mines Limited;Basic Materials;Gold;Canada
AETUF;Arc Resources Ltd.;Energy;Oil & Gas E&P;Canada
AG;First Majestic Silver Corp.;Basic Materials;Silver;Canada
AGI;Alamos Gold Inc.;Basic Materials;Gold;Canada
AQN;Algonquin Power & Utilities Cor;Utilities;Utilities - Diversified;Canada
ATS;ATS Corporation;Industrials;Specialty Industrial Machinery;Canada
AUPH;Aurinia Pharmaceuticals Inc;Healthcare;Biotechnology;Canada
BAM;Brookfield Asset Management Inc;Financial Services;Asset Management;Canada
BB;BlackBerry Limited;Technology;Software - Infrastructure;Canada
BCE;BCE, Inc.;Communication Services;Telecom Services;Canada
BHC;Bausch Health Companies Inc.;Healthcare;Drug Manufacturers - Specialty & Generic;Canada
BLDP;Ballard Power Systems, Inc.;Industrials;Specialty Industrial Machinery;Canada
BMO;Bank Of Montreal;Financial Services;Banks - Diversified;Canada
BN;Brookfield Corporation;Financial Services;Asset Management;Canada
BNS;Bank Nova Scotia Halifax Pfd 3;Financial Services;Banks - Diversified;Canada
BTE;Baytex Energy Corp;Energy;Oil & Gas E&P;Canada
CAE;CAE Inc.;Industrials;Aerospace & Defense;Canada
CIGI;Colliers International Group In;Real Estate;Real Estate Services;Canada
CIO;City Office REIT, Inc.;Real Estate;REIT - Office;Canada
CLS;Celestica, Inc.;Technology;Electronic Components;Canada
CM;Canadian Imperial Bank of Comme;Financial Services;Banks - Diversified;Canada
CNQ;Canadian Natural Resources Limi;Energy;Oil & Gas E&P;Canada
CP;Canadian Pacific Kansas City Li;Industrials;Railroads;Canada
CVE;Cenovus Energy Inc;Energy;Oil & Gas Integrated;Canada
EMRAF;Emera Inc.;Utilities;Utilities - Regulated Electric;Canada
ENB;Enbridge Inc;Energy;Oil & Gas Midstream;Canada
EQX;Equinox Gold Corp.;Basic Materials;Gold;Canada
ERO;Ero Copper Corp.;Basic Materials;Copper;Canada
EXK;Endeavour Silver Corporation;Basic Materials;Silver;Canada
FNV;Franco-Nevada Corporation;Basic Materials;Gold;Canada
FSV;FirstService Corporation;Real Estate;Real Estate Services;Canada
FTS;Fortis Inc.;Utilities;Utilities - Regulated Electric;Canada
GFL;GFL Environmental Inc. Subordin;Industrials;Waste Management;Canada
GIL;Gildan Activewear, Inc.;Consumer Cyclical;Apparel Manufacturing;Canada
GOOS;Canada Goose Holdings Inc. Subo;Consumer Cyclical;Apparel Manufacturing;Canada
GTE;Gran Tierra Energy Inc.;Energy;Oil & Gas E&P;Canada
HBM;Hudbay Minerals Inc.;Basic Materials;Copper;Canada
IMAX;Imax Corporation;Communication Services;Entertainment;Canada
IMO;Imperial Oil Limited;Energy;Oil & Gas Integrated;Canada
LSPD;Lightspeed Commerce Inc. Subord;Technology;Software - Application;Canada
LULU;lululemon athletica inc.;Consumer Cyclical;Apparel Retail;Canada
MAG;MAG Silver Corporation;Basic Materials;Silver;Canada
MERC;Mercer International Inc.;Basic Materials;Paper & Paper Products;Canada
MFC;Manulife Financial Corporation;Financial Services;Insurance - Life;Canada
NG;Novagold Resources Inc.;Basic Materials;Gold;Canada
NGD;New Gold Inc.;Basic Materials;Gold;Canada
NTR;Nutrien Ltd.;Basic Materials;Agricultural Inputs;Canada
NXE;Nexgen Energy Ltd.;Energy;Uranium;Canada
OR;Osisko Gold Royalties Ltd;Basic Materials;Gold;Canada
OTEX;Open Text Corporation;Technology;Software - Application;Canada
PAAS;Pan American Silver Corp.;Basic Materials;Gold;Canada
QBTS;D-Wave Quantum Inc.;Technology;Computer Hardware;Canada
QSR;Restaurant Brands International;Consumer Cyclical;Restaurants;Canada
RY;Royal Bank Of Canada;Financial Services;Banks - Diversified;Canada
SA;Seabridge Gold, Inc.;Basic Materials;Gold;Canada
SHOP;Shopify Inc.;Technology;Software - Application;Canada
SLF;Sun Life Financial Inc.;Financial Services;Insurance - Diversified;Canada
